host_is_superhost,host_identity_verified,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,number_of_reviews,review_scores_rating,z_score
True,True,1017,52.35955184862691,4.897903333119472,t,Apartment,Entire home/apt,4,1.5,2.0,2.0,195.0,"$1,170.00",195.0,195.0,11,93.0,0.3831934219898305
True,True,1011 TX,52.37311831765251,4.9065281458072185,t,Apartment,Entire home/apt,3,1.5,2.0,2.0,130.0,$875.00,130.0,130.0,6,100.0,0.14703331431036554
True,True,1013,52.3933676008294,4.883008781989972,t,Boat,Entire home/apt,16,2.0,10.0,16.0,464.0,3248.0,464.0,464.0,87,97.0,2.57751637683218
True,True,1034 ZD,52.3999228375966,4.920000147987165,t,Apartment,Private room,2,1.5,1.0,2.0,135.0,945.0,135.0,135.0,61,89.0,0.10624664228727354
True,True,1054,52.35901103004662,4.8643977976891035,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,169.0,$800.00,169.0,169.0,28,96.0,0.17110272746975208
True,True,1016 VW,52.37143337794846,4.876667139735057,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,200.0,1400.0,200.0,200.0,72,94.0,0.42398009401292247
True,True,1053,52.366839537629346,4.8767584018742,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,100.0,700.0,100.0,100.0,53,94.0,0.39175334644891757
True,True,1017,52.361762071894596,4.893214501045171,t,Bed and breakfast,Private room,2,1.0,1.0,1.0,115.0,$695.00,115.0,115.0,9,100.0,0.2693933303796415
True,True,1094,52.36439279170668,4.939439259273157,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,124.0,868.0,124.0,124.0,48,92.0,0.19597732073807594
True,True,1054 MH,52.36314066044941,4.8628437740077315,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,111.0,$600.00,111.0,111.0,34,98.0,0.30202266799811517
